Timestamp,Weight(g)
2024-12-25 15:39:14,888.11
2024-12-25 15:39:16,888.01
2024-12-25 15:39:18,887.97
2024-12-25 15:39:20,887.88
2024-12-25 15:39:21,887.89
2024-12-25 15:39:23,887.80
2024-12-25 15:39:25,887.75
2024-12-25 15:39:27,887.64
2024-12-25 15:39:29,887.56
2024-12-25 15:39:30,887.50
2024-12-25 15:39:32,887.42
2024-12-25 15:39:34,887.34
2024-12-25 15:39:36,887.25
2024-12-25 15:39:38,887.16
2024-12-25 15:39:40,887.14
2024-12-25 15:39:41,887.11
2024-12-25 15:39:43,887.27
2024-12-25 15:39:45,902.15
2024-12-25 15:39:47,923.86
2024-12-25 15:39:49,907.23
2024-12-25 15:39:50,910.24
2024-12-25 15:39:52,909.67
2024-12-25 15:39:54,909.25
2024-12-25 15:39:56,908.88
2024-12-25 15:39:58,912.12
2024-12-25 15:40:00,897.07
2024-12-25 15:40:02,899.50
2024-12-25 15:40:03,845.45
2024-12-25 15:40:05,815.65
2024-12-25 15:40:07,828.64
2024-12-25 15:40:09,834.26
2024-12-25 15:40:11,853.37
2024-12-25 15:40:12,849.81
2024-12-25 15:40:14,799.84
2024-12-25 15:40:16,798.29
2024-12-25 15:40:18,802.00
2024-12-25 15:40:20,819.36
2024-12-25 15:40:22,890.19
2024-12-25 15:40:23,838.28
2024-12-25 15:40:25,801.79
2024-12-25 15:40:27,822.91
2024-12-25 15:40:29,827.35
2024-12-25 15:40:31,869.29
2024-12-25 15:40:33,877.82
2024-12-25 15:40:34,867.06
2024-12-25 15:40:36,857.94
2024-12-25 15:40:38,854.43
2024-12-25 15:40:40,864.26
2024-12-25 15:40:42,876.55
2024-12-25 15:40:44,878.79
2024-12-25 15:40:45,858.01
2024-12-25 15:40:47,850.74
2024-12-25 15:40:49,854.77
2024-12-25 15:40:51,865.39
2024-12-25 15:40:53,864.18
2024-12-25 15:40:54,864.99
2024-12-25 15:40:56,852.30
2024-12-25 15:40:58,851.87
2024-12-25 15:41:00,867.91
2024-12-25 15:41:02,871.42
2024-12-25 15:41:04,870.49
2024-12-25 15:41:06,861.64
2024-12-25 15:41:07,854.09
2024-12-25 15:41:09,864.12
2024-12-25 15:41:11,856.10
2024-12-25 15:41:13,854.97
2024-12-25 15:41:15,847.61
2024-12-25 15:41:17,856.49
2024-12-25 15:41:18,848.04
2024-12-25 15:41:20,856.61
2024-12-25 15:41:22,857.92
2024-12-25 15:41:24,862.00
2024-12-25 15:41:26,860.34
2024-12-25 15:41:27,851.62
2024-12-25 15:41:29,843.36
2024-12-25 15:41:31,853.66
2024-12-25 15:41:33,865.97
2024-12-25 15:41:35,872.76
2024-12-25 15:41:37,874.20
