Timestamp,Weight(g)
2024-12-25 15:32:21,828.42
2024-12-25 15:32:23,828.07
2024-12-25 15:32:25,817.82
2024-12-25 15:32:26,818.25
2024-12-25 15:32:28,818.73
2024-12-25 15:32:30,820.79
2024-12-25 15:32:32,821.24
2024-12-25 15:32:34,820.77
2024-12-25 15:32:35,820.87
2024-12-25 15:32:37,821.28
2024-12-25 15:32:39,823.16
2024-12-25 15:32:41,823.44
2024-12-25 15:32:43,823.72
2024-12-25 15:32:45,822.62
2024-12-25 15:32:46,823.61
2024-12-25 15:32:48,823.64
2024-12-25 15:32:50,823.26
2024-12-25 15:32:52,823.34
2024-12-25 15:32:54,822.68
2024-12-25 15:32:56,822.42
2024-12-25 15:32:57,822.46
2024-12-25 15:32:59,822.62
2024-12-25 15:33:01,822.49
2024-12-25 15:33:03,823.04
2024-12-25 15:33:05,825.00
2024-12-25 15:33:07,824.97
2024-12-25 15:33:08,825.03
2024-12-25 15:33:10,825.03
2024-12-25 15:33:12,825.06
2024-12-25 15:33:14,825.06
2024-12-25 15:33:16,825.19
2024-12-25 15:33:17,825.26
2024-12-25 15:33:19,825.16
2024-12-25 15:33:21,825.22
2024-12-25 15:33:23,825.26
2024-12-25 15:33:25,825.27
2024-12-25 15:33:27,825.28
2024-12-25 15:33:28,825.35
2024-12-25 15:33:30,825.36
2024-12-25 15:33:32,825.37
2024-12-25 15:33:34,825.38
2024-12-25 15:33:36,825.05
2024-12-25 15:33:38,824.60
2024-12-25 15:33:39,825.68
2024-12-25 15:33:41,825.51
2024-12-25 15:33:43,825.29
2024-12-25 15:33:45,830.60
2024-12-25 15:33:47,831.92
2024-12-25 15:33:49,830.66
2024-12-25 15:33:50,831.72
2024-12-25 15:33:52,840.30
2024-12-25 15:33:54,846.13
2024-12-25 15:33:56,836.07
2024-12-25 15:33:58,831.42
2024-12-25 15:33:59,824.67
2024-12-25 15:34:01,832.74
2024-12-25 15:34:03,855.83
2024-12-25 15:34:05,865.16
2024-12-25 15:34:07,869.79
2024-12-25 15:34:09,870.71
2024-12-25 15:34:10,880.74
2024-12-25 15:34:12,892.54
2024-12-25 15:34:14,858.49
2024-12-25 15:34:16,846.43
2024-12-25 15:34:18,849.76
2024-12-25 15:34:20,849.24
2024-12-25 15:34:21,853.10
2024-12-25 15:34:23,862.41
2024-12-25 15:34:25,862.28
2024-12-25 15:34:27,859.77
2024-12-25 15:34:29,888.72
2024-12-25 15:34:31,889.77
2024-12-25 15:34:32,869.50
2024-12-25 15:34:34,872.78
2024-12-25 15:34:36,875.03
2024-12-25 15:34:38,854.01
2024-12-25 15:34:40,844.03
2024-12-25 15:34:42,843.33
2024-12-25 15:34:43,843.61
2024-12-25 15:34:45,841.90
2024-12-25 15:34:47,842.04
2024-12-25 15:34:49,843.54
2024-12-25 15:34:51,843.48
2024-12-25 15:34:53,866.11
2024-12-25 15:34:54,878.16
2024-12-25 15:34:56,894.62
2024-12-25 15:34:58,884.42
2024-12-25 15:35:00,881.28
2024-12-25 15:35:02,886.14
2024-12-25 15:35:04,887.39
2024-12-25 15:35:05,885.84
2024-12-25 15:35:07,884.67
2024-12-25 15:35:09,884.94
2024-12-25 15:35:11,885.05
2024-12-25 15:35:13,884.02
2024-12-25 15:35:14,877.96
2024-12-25 15:35:16,889.80
2024-12-25 15:35:18,888.49
2024-12-25 15:35:20,863.88
2024-12-25 15:35:22,872.55
2024-12-25 15:35:24,897.98
2024-12-25 15:35:25,823.47
2024-12-25 15:35:27,846.41
2024-12-25 15:35:29,873.87
2024-12-25 15:35:31,858.84
2024-12-25 15:35:33,818.35
2024-12-25 15:35:35,864.69
2024-12-25 15:35:36,949.72
2024-12-25 15:35:38,948.65
2024-12-25 15:35:40,947.43
2024-12-25 15:35:42,947.92
2024-12-25 15:35:44,947.61
2024-12-25 15:35:46,947.38
2024-12-25 15:35:47,947.19
2024-12-25 15:35:49,890.52
2024-12-25 15:35:51,861.67
2024-12-25 15:35:53,862.88
2024-12-25 15:35:55,861.58
2024-12-25 15:35:57,866.24
2024-12-25 15:35:58,870.89
2024-12-25 15:36:00,879.52
2024-12-25 15:36:02,878.13
2024-12-25 15:36:04,877.71
2024-12-25 15:36:06,876.76
2024-12-25 15:36:08,875.05
2024-12-25 15:36:09,907.56
2024-12-25 15:36:11,903.67
2024-12-25 15:36:13,903.34
2024-12-25 15:36:15,903.08
2024-12-25 15:36:17,903.04
2024-12-25 15:36:19,902.93
2024-12-25 15:36:20,902.81
2024-12-25 15:36:22,902.67
2024-12-25 15:36:24,902.40
2024-12-25 15:36:26,902.24
2024-12-25 15:36:28,902.18
2024-12-25 15:36:29,902.06
2024-12-25 15:36:31,902.05
2024-12-25 15:36:33,901.76
2024-12-25 15:36:35,903.70
2024-12-25 15:36:37,909.35
2024-12-25 15:36:39,912.54
2024-12-25 15:36:40,911.26
2024-12-25 15:36:42,912.95
2024-12-25 15:36:44,913.32
2024-12-25 15:36:46,911.24
2024-12-25 15:36:48,895.00
2024-12-25 15:36:50,913.38
2024-12-25 15:36:51,911.99
2024-12-25 15:36:53,903.61
2024-12-25 15:36:55,898.13
2024-12-25 15:36:57,898.96
2024-12-25 15:36:59,896.49
2024-12-25 15:37:01,893.58
2024-12-25 15:37:02,895.02
2024-12-25 15:37:04,908.88
2024-12-25 15:37:06,917.93
2024-12-25 15:37:08,906.37
2024-12-25 15:37:10,904.22
2024-12-25 15:37:11,903.66
2024-12-25 15:37:13,901.37
2024-12-25 15:37:15,898.89
2024-12-25 15:37:17,887.85
2024-12-25 15:37:19,861.96
2024-12-25 15:37:21,897.31
2024-12-25 15:37:22,901.42
2024-12-25 15:37:24,888.72
2024-12-25 15:37:26,876.55
2024-12-25 15:37:28,883.02
2024-12-25 15:37:30,844.75
2024-12-25 15:37:32,849.11
2024-12-25 15:37:34,808.42
2024-12-25 15:37:35,836.82
2024-12-25 15:37:37,843.49
2024-12-25 15:37:39,850.15
2024-12-25 15:37:41,867.86
2024-12-25 15:37:43,845.13
2024-12-25 15:37:44,882.96
2024-12-25 15:37:46,901.85
2024-12-25 15:37:48,862.45
2024-12-25 15:37:50,879.58
2024-12-25 15:37:52,866.42
2024-12-25 15:37:54,868.82
2024-12-25 15:37:55,890.12
