Timestamp,Weight(g)
2024-12-25 18:59:28,867.66
2024-12-25 18:59:29,867.73
2024-12-25 18:59:30,867.74
2024-12-25 18:59:31,867.83
2024-12-25 18:59:32,867.87
2024-12-25 18:59:33,867.82
2024-12-25 18:59:34,867.87
2024-12-25 18:59:35,867.82
2024-12-25 18:59:36,867.92
2024-12-25 18:59:37,867.94
2024-12-25 18:59:38,867.55
2024-12-25 18:59:39,862.16
2024-12-25 18:59:40,862.36
2024-12-25 18:59:41,675.01
2024-12-25 18:59:42,863.03
2024-12-25 18:59:43,863.14
2024-12-25 18:59:44,858.03
2024-12-25 18:59:45,872.67
2024-12-25 18:59:46,865.95
2024-12-25 18:59:48,857.71
2024-12-25 18:59:49,850.35
2024-12-25 18:59:50,851.39
2024-12-25 18:59:51,849.06
2024-12-25 18:59:52,855.23
2024-12-25 18:59:53,863.19
2024-12-25 18:59:54,870.41
2024-12-25 18:59:55,870.18
2024-12-25 18:59:56,870.24
2024-12-25 18:59:57,870.50
2024-12-25 18:59:58,870.12
2024-12-25 18:59:59,868.83
2024-12-25 19:00:00,868.95
2024-12-25 19:00:01,868.96
2024-12-25 19:00:02,869.03
2024-12-25 19:00:03,868.96
2024-12-25 19:00:04,869.03
2024-12-25 19:00:05,868.78
2024-12-25 19:00:06,868.55
2024-12-25 19:00:07,868.36
2024-12-25 19:00:08,868.09
2024-12-25 19:00:09,867.86
2024-12-25 19:00:10,867.84
2024-12-25 19:00:11,867.89
2024-12-25 19:00:12,868.09
2024-12-25 19:00:13,867.99
2024-12-25 19:00:14,867.84
2024-12-25 19:00:15,868.37
2024-12-25 19:00:17,874.01
2024-12-25 19:00:18,874.05
2024-12-25 19:00:19,874.16
2024-12-25 19:00:20,874.31
2024-12-25 19:00:21,874.22
2024-12-25 19:00:22,874.23
2024-12-25 19:00:23,874.21
2024-12-25 19:00:24,874.31
2024-12-25 19:00:25,874.18
2024-12-25 19:00:26,874.21
2024-12-25 19:00:27,874.26
2024-12-25 19:00:28,874.18
2024-12-25 19:00:29,874.13
2024-12-25 19:00:30,874.08
2024-12-25 19:00:31,874.19
2024-12-25 19:00:32,874.18
2024-12-25 19:00:33,874.16
2024-12-25 19:00:34,874.16
2024-12-25 19:00:35,874.09
2024-12-25 19:00:36,874.11
2024-12-25 19:00:37,874.06
2024-12-25 19:00:38,874.06
2024-12-25 19:00:39,873.98
2024-12-25 19:00:40,874.08
2024-12-25 19:00:41,874.11
2024-12-25 19:00:42,874.08
2024-12-25 19:00:43,874.02
2024-12-25 19:00:44,873.89
2024-12-25 19:00:45,874.01
2024-12-25 19:00:47,873.95
2024-12-25 19:00:48,873.87
2024-12-25 19:00:49,873.89
2024-12-25 19:00:50,873.85
2024-12-25 19:00:51,873.82
2024-12-25 19:00:52,873.85
2024-12-25 19:00:53,872.69
2024-12-25 19:00:54,880.63
2024-12-25 19:00:55,890.73
2024-12-25 19:00:56,887.73
2024-12-25 19:00:57,879.19
2024-12-25 19:00:58,846.19
2024-12-25 19:00:59,823.07
2024-12-25 19:01:00,829.40
2024-12-25 19:01:01,798.93
2024-12-25 19:01:02,804.57
2024-12-25 19:01:03,801.09
2024-12-25 19:01:04,797.42
2024-12-25 19:01:05,796.78
