Timestamp,Weight(g)
2024-12-25 21:09:51,754.55
2024-12-25 21:09:52,751.90
2024-12-25 21:09:53,737.37
2024-12-25 21:09:54,734.50
2024-12-25 21:09:55,737.08
2024-12-25 21:09:56,726.08
2024-12-25 21:09:57,723.75
2024-12-25 21:09:58,714.81
2024-12-25 21:09:59,690.64
2024-12-25 21:10:00,663.73
2024-12-25 21:10:01,677.59
2024-12-25 21:10:02,662.45
2024-12-25 21:10:03,651.46
2024-12-25 21:10:04,647.76
2024-12-25 21:10:05,622.95
2024-12-25 21:10:06,521.75
2024-12-25 21:10:07,439.92
2024-12-25 21:10:08,322.21
2024-12-25 21:10:09,725.98
2024-12-25 21:10:10,814.84
2024-12-25 21:10:11,819.37
2024-12-25 21:10:12,842.88
2024-12-25 21:10:14,847.31
2024-12-25 21:10:15,843.71
2024-12-25 21:10:16,820.06
2024-12-25 21:10:17,823.77
2024-12-25 21:10:18,817.55
2024-12-25 21:10:19,821.00
2024-12-25 21:10:20,821.04
2024-12-25 21:10:21,820.41
2024-12-25 21:10:22,821.33
2024-12-25 21:10:23,821.39
2024-12-25 21:10:24,819.86
2024-12-25 21:10:25,821.75
2024-12-25 21:10:26,824.61
2024-12-25 21:10:27,819.40
2024-12-25 21:10:28,805.34
2024-12-25 21:10:29,772.33
2024-12-25 21:10:30,775.67
2024-12-25 21:10:31,785.68
2024-12-25 21:10:32,792.45
2024-12-25 21:10:33,811.46
2024-12-25 21:10:34,811.70
2024-12-25 21:10:35,812.48
2024-12-25 21:10:36,792.17
2024-12-25 21:10:37,801.22
2024-12-25 21:10:38,798.10
2024-12-25 21:10:39,800.02
2024-12-25 21:10:40,796.26
2024-12-25 21:10:41,799.58
2024-12-25 21:10:43,802.51
2024-12-25 21:10:44,806.42
2024-12-25 21:10:45,795.96
2024-12-25 21:10:46,754.00
2024-12-25 21:10:47,757.97
2024-12-25 21:10:48,809.89
2024-12-25 21:10:49,808.67
2024-12-25 21:10:50,807.23
2024-12-25 21:10:51,803.67
2024-12-25 21:10:52,769.53
2024-12-25 21:10:53,724.69
2024-12-25 21:10:54,731.51
2024-12-25 21:10:55,818.68
2024-12-25 21:10:56,815.27
2024-12-25 21:10:57,822.74
2024-12-25 21:10:58,814.54
