Timestamp,Weight(g)
2024-12-25 15:27:35,872.57
2024-12-25 15:27:37,873.09
2024-12-25 15:27:39,873.42
2024-12-25 15:27:41,873.71
2024-12-25 15:27:43,874.05
2024-12-25 15:27:45,874.30
2024-12-25 15:27:46,874.57
2024-12-25 15:27:48,874.80
2024-12-25 15:27:50,874.96
2024-12-25 15:27:52,875.14
2024-12-25 15:27:54,875.29
2024-12-25 15:27:56,875.46
2024-12-25 15:27:57,875.69
2024-12-25 15:27:59,875.80
2024-12-25 15:28:01,853.62
2024-12-25 15:28:03,901.72
2024-12-25 15:28:05,901.69
2024-12-25 15:28:06,901.88
2024-12-25 15:28:08,904.45
2024-12-25 15:28:10,908.08
2024-12-25 15:28:12,916.22
2024-12-25 15:28:14,927.93
2024-12-25 15:28:16,922.24
2024-12-25 15:28:18,922.21
2024-12-25 15:28:19,922.23
2024-12-25 15:28:21,894.60
2024-12-25 15:28:23,981.48
2024-12-25 15:28:25,930.97
2024-12-25 15:28:27,903.11
2024-12-25 15:28:28,950.72
2024-12-25 15:28:30,941.32
2024-12-25 15:28:32,944.16
2024-12-25 15:28:34,942.00
2024-12-25 15:28:36,941.61
2024-12-25 15:28:38,946.47
2024-12-25 15:28:39,934.52
2024-12-25 15:28:41,986.62
2024-12-25 15:28:43,932.26
2024-12-25 15:28:45,936.06
2024-12-25 15:28:47,949.21
2024-12-25 15:28:49,963.56
2024-12-25 15:28:51,977.26
2024-12-25 15:28:52,916.63
2024-12-25 15:28:54,900.44
2024-12-25 15:28:56,884.59
2024-12-25 15:28:58,885.71
2024-12-25 15:29:00,888.88
2024-12-25 15:29:01,900.62
2024-12-25 15:29:03,898.07
2024-12-25 15:29:05,898.02
2024-12-25 15:29:07,898.11
2024-12-25 15:29:09,898.18
2024-12-25 15:29:11,898.26
2024-12-25 15:29:12,898.36
2024-12-25 15:29:14,898.38
2024-12-25 15:29:16,898.48
2024-12-25 15:29:18,898.57
