Timestamp,Weight(g)
2024-12-25 15:15:03,937.77
2024-12-25 15:15:05,937.76
2024-12-25 15:15:07,937.71
2024-12-25 15:15:08,937.74
2024-12-25 15:15:10,937.78
2024-12-25 15:15:12,937.72
2024-12-25 15:15:14,937.76
2024-12-25 15:15:16,937.82
2024-12-25 15:15:18,937.78
2024-12-25 15:15:19,937.79
2024-12-25 15:15:21,937.83
2024-12-25 15:15:23,937.77
2024-12-25 15:15:25,937.80
2024-12-25 15:15:27,937.79
2024-12-25 15:15:28,937.82
2024-12-25 15:15:30,937.94
2024-12-25 15:15:32,937.96
2024-12-25 15:15:34,938.03
2024-12-25 15:15:36,937.95
2024-12-25 15:15:38,937.95
2024-12-25 15:15:39,938.02
2024-12-25 15:15:41,938.00
2024-12-25 15:15:43,938.07
2024-12-25 15:15:45,938.08
2024-12-25 15:15:47,938.09
2024-12-25 15:15:49,938.14
2024-12-25 15:15:50,938.22
2024-12-25 15:15:52,938.36
2024-12-25 15:15:54,938.23
2024-12-25 15:15:56,938.28
2024-12-25 15:15:58,938.28
2024-12-25 15:16:00,938.34
2024-12-25 15:16:01,938.39
2024-12-25 15:16:03,938.39
2024-12-25 15:16:05,938.35
2024-12-25 15:16:07,938.37
2024-12-25 15:16:09,938.31
2024-12-25 15:16:11,938.31
2024-12-25 15:16:13,647.54
2024-12-25 15:16:14,938.22
2024-12-25 15:16:16,938.22
2024-12-25 15:16:18,938.14
2024-12-25 15:16:20,938.04
2024-12-25 15:16:22,938.04
2024-12-25 15:16:24,937.98
2024-12-25 15:16:25,937.98
2024-12-25 15:16:27,938.01
2024-12-25 15:16:29,938.02
2024-12-25 15:16:31,938.07
2024-12-25 15:16:33,937.99
2024-12-25 15:16:35,937.94
2024-12-25 15:16:36,938.01
2024-12-25 15:16:38,938.01
2024-12-25 15:16:40,937.90
2024-12-25 15:16:42,937.87
2024-12-25 15:16:44,937.91
2024-12-25 15:16:46,937.96
2024-12-25 15:16:47,937.96
2024-12-25 15:16:49,937.92
2024-12-25 15:16:51,937.98
2024-12-25 15:16:53,937.91
2024-12-25 15:16:55,937.93
2024-12-25 15:16:56,937.84
2024-12-25 15:16:58,937.87
2024-12-25 15:17:00,937.96
2024-12-25 15:17:02,938.01
2024-12-25 15:17:04,938.00
2024-12-25 15:17:06,937.94
2024-12-25 15:17:07,937.90
2024-12-25 15:17:09,937.97
2024-12-25 15:17:11,938.05
2024-12-25 15:17:13,938.14
2024-12-25 15:17:15,938.21
2024-12-25 15:17:17,938.26
2024-12-25 15:17:18,938.25
2024-12-25 15:17:20,938.27
2024-12-25 15:17:22,938.26
2024-12-25 15:17:24,938.36
2024-12-25 15:17:26,938.33
2024-12-25 15:17:28,938.33
2024-12-25 15:17:29,938.32
2024-12-25 15:17:31,938.38
2024-12-25 15:17:33,938.48
2024-12-25 15:17:35,938.48
2024-12-25 15:17:37,938.52
2024-12-25 15:17:38,938.48
2024-12-25 15:17:40,938.54
2024-12-25 15:17:42,938.60
2024-12-25 15:17:44,938.51
2024-12-25 15:17:46,938.51
2024-12-25 15:17:48,938.52
2024-12-25 15:17:49,938.50
2024-12-25 15:17:51,938.52
2024-12-25 15:17:53,938.46
2024-12-25 15:17:55,938.48
2024-12-25 15:17:57,938.49
2024-12-25 15:17:59,938.50
2024-12-25 15:18:00,938.59
2024-12-25 15:18:02,938.56
2024-12-25 15:18:04,938.58
2024-12-25 15:18:06,938.52
2024-12-25 15:18:08,938.49
2024-12-25 15:18:10,938.50
2024-12-25 15:18:11,938.55
2024-12-25 15:18:13,938.59
2024-12-25 15:18:15,938.55
2024-12-25 15:18:17,938.58
2024-12-25 15:18:19,938.62
2024-12-25 15:18:20,938.65
2024-12-25 15:18:22,938.61
2024-12-25 15:18:24,938.71
2024-12-25 15:18:26,938.67
2024-12-25 15:18:28,938.69
2024-12-25 15:18:30,938.72
2024-12-25 15:18:31,938.66
2024-12-25 15:18:33,938.73
2024-12-25 15:18:35,938.71
2024-12-25 15:18:37,938.73
2024-12-25 15:18:39,938.73
2024-12-25 15:18:41,938.77
2024-12-25 15:18:42,938.74
2024-12-25 15:18:44,938.70
2024-12-25 15:18:46,938.72
2024-12-25 15:18:48,938.74
2024-12-25 15:18:50,938.76
2024-12-25 15:18:51,938.76
2024-12-25 15:18:53,938.83
2024-12-25 15:18:55,938.80
2024-12-25 15:18:57,938.78
2024-12-25 15:18:59,938.81
2024-12-25 15:19:01,938.85
2024-12-25 15:19:02,938.84
2024-12-25 15:19:04,938.80
2024-12-25 15:19:06,938.84
2024-12-25 15:19:08,938.80
2024-12-25 15:19:10,938.88
2024-12-25 15:19:12,938.82
2024-12-25 15:19:13,938.86
2024-12-25 15:19:15,938.86
2024-12-25 15:19:17,938.85
2024-12-25 15:19:19,938.83
2024-12-25 15:19:21,938.92
2024-12-25 15:19:23,938.97
2024-12-25 15:19:24,938.97
2024-12-25 15:19:26,938.97
2024-12-25 15:19:28,938.97
2024-12-25 15:19:30,938.99
2024-12-25 15:19:32,939.04
2024-12-25 15:19:34,939.09
2024-12-25 15:19:35,939.10
2024-12-25 15:19:37,939.10
2024-12-25 15:19:39,939.11
2024-12-25 15:19:41,939.20
2024-12-25 15:19:43,939.21
2024-12-25 15:19:45,939.22
2024-12-25 15:19:46,939.26
2024-12-25 15:19:48,939.40
2024-12-25 15:19:50,939.37
2024-12-25 15:19:52,939.42
2024-12-25 15:19:54,939.40
2024-12-25 15:19:56,939.51
2024-12-25 15:19:57,939.56
2024-12-25 15:19:59,939.59
2024-12-25 15:20:01,939.59
2024-12-25 15:20:03,939.62
2024-12-25 15:20:05,939.65
2024-12-25 15:20:06,939.69
2024-12-25 15:20:08,939.77
2024-12-25 15:20:10,939.87
2024-12-25 15:20:12,939.88
