Timestamp,Weight(g)
2024-12-25 18:02:47,923.34
2024-12-25 18:02:48,923.42
2024-12-25 18:02:49,923.46
2024-12-25 18:02:50,923.60
2024-12-25 18:02:51,923.68
2024-12-25 18:02:52,923.61
2024-12-25 18:02:53,923.80
2024-12-25 18:02:54,923.80
2024-12-25 18:02:55,923.85
2024-12-25 18:02:56,923.92
2024-12-25 18:02:57,923.87
2024-12-25 18:02:58,910.57
2024-12-25 18:02:59,864.06
2024-12-25 18:03:00,871.92
2024-12-25 18:03:01,777.40
2024-12-25 18:03:02,769.84
2024-12-25 18:03:03,769.36
2024-12-25 18:03:04,769.12
2024-12-25 18:03:05,768.89
2024-12-25 18:03:06,768.88
2024-12-25 18:03:07,768.89
2024-12-25 18:03:08,768.85
2024-12-25 18:03:09,768.90
2024-12-25 18:03:10,768.95
2024-12-25 18:03:12,768.99
2024-12-25 18:03:13,769.08
2024-12-25 18:03:14,983.48
2024-12-25 18:03:15,980.83
2024-12-25 18:03:16,977.97
2024-12-25 18:03:17,978.25
2024-12-25 18:03:18,978.31
2024-12-25 18:03:19,978.38
2024-12-25 18:03:20,978.46
2024-12-25 18:03:21,978.59
2024-12-25 18:03:22,978.65
2024-12-25 18:03:23,978.79
2024-12-25 18:03:24,978.92
2024-12-25 18:03:25,979.05
2024-12-25 18:03:26,979.24
2024-12-25 18:03:27,978.48
2024-12-25 18:03:28,803.91
2024-12-25 18:03:29,786.72
2024-12-25 18:03:30,786.21
2024-12-25 18:03:31,786.18
2024-12-25 18:03:32,786.28
2024-12-25 18:03:33,786.39
2024-12-25 18:03:34,786.41
2024-12-25 18:03:35,786.53
2024-12-25 18:03:36,786.63
2024-12-25 18:03:37,786.76
2024-12-25 18:03:38,786.87
2024-12-25 18:03:39,786.88
2024-12-25 18:03:41,786.63
2024-12-25 18:03:42,779.64
2024-12-25 18:03:43,829.04
2024-12-25 18:03:44,945.76
2024-12-25 18:03:45,989.69
2024-12-25 18:03:46,945.20
2024-12-25 18:03:47,945.20
2024-12-25 18:03:48,945.09
2024-12-25 18:03:49,944.96
2024-12-25 18:03:50,946.39
2024-12-25 18:03:51,944.95
2024-12-25 18:03:52,944.96
2024-12-25 18:03:53,944.87
2024-12-25 18:03:54,944.91
2024-12-25 18:03:55,945.18
2024-12-25 18:03:56,945.01
2024-12-25 18:03:57,945.02
2024-12-25 18:03:58,945.07
2024-12-25 18:03:59,945.06
2024-12-25 18:04:00,945.18
2024-12-25 18:04:01,841.39
2024-12-25 18:04:02,767.44
2024-12-25 18:04:03,769.25
2024-12-25 18:04:04,770.11
2024-12-25 18:04:05,770.47
2024-12-25 18:04:06,770.61
2024-12-25 18:04:07,770.87
2024-12-25 18:04:08,770.88
2024-12-25 18:04:10,771.08
2024-12-25 18:04:11,771.37
2024-12-25 18:04:12,771.33
2024-12-25 18:04:13,771.54
2024-12-25 18:04:14,638.13
2024-12-25 18:04:15,907.55
2024-12-25 18:04:16,954.07
2024-12-25 18:04:17,951.78
2024-12-25 18:04:18,951.55
2024-12-25 18:04:19,951.55
2024-12-25 18:04:20,951.54
2024-12-25 18:04:21,952.18
